start	end	text
0	19000	¿Qué vamos a ver hoy?
19000	24000	¿Qué es?
24000	33720	La idea es como una clase de invitada dentro del curso de introsión al
33720	40360	presentamiento del lenguaje natural, dar algo de el tema de recuperación de
40360	46000	información, pero si uno piensa, en recuperación de información ya se
46000	49400	enseguida de una sociedad Google, Google, Google o vamos a ver, no vamos a
49400	55200	ver eso. Vamos a ver los inicios de la recuperación de información,
55200	60800	cuando todavía internez no la tal, estamos hablando de la década de
60800	66080	ese del 60, cuando empezaron a aparecer los primeros sistemas o cuál
66080	72560	eran los modelos o cuál eran los criterios para construir un sistema de
72560	78560	recuperación de documentos de información, donde vamos a
78560	82760	comentando la filosofía totalmente distinta a lo que hoy es la
82760	92160	web. Entonces, el sistema de recuperación de información con la
92160	97120	decida, en general se habla de un dominio acotado, un dominio conocido y uno
97120	102960	lo que trata de hacer es tratar de recuperar la mayor cantidad de documentos o
102960	109920	de información que exista en esa base documental vinculado a la
109920	116080	necesidad y digamos de usuario. Entonces, estas son algunas las preguntas que
116080	120560	no se hace, ¿no? ¿Cómo podemos recuperar información relevante para
120560	125160	nosotros contenida en esos documentos en esa colección de documentos? ¿Qué
125160	129520	cosas tendrían que ser representativas? ¿Qué es lo que va a identificar un
129520	134360	documento de otro? ¿Cómo se van a representarlos documentos? ¿Cómo vamos a representarlas
134360	141440	consultas? Si importa la estructura que tenga el documento o solamente el
141440	144960	contenido, en fin, ¿y cuál y cuál la se la relevancia social ha
144960	149440	sacado documento? Esto es un tema bien importante porque uno
149440	154400	inevitablemente, cuando voy a estar hablando, hace su, su paralelismo a la web.
154400	160240	Entonces, hoy vemos, hacemos una consulta en la web, en internet y siempre aparece
160240	166400	un orden de alguna manera, el tipo ordena, según algún criterio. Entonces, en
166400	169960	aquí, en estamos hablando de los primeros sistemas de recuperación de
169960	174120	documentos, de base de datos documentales, el tema de la relevancia era muy
174120	178080	importante y cuál sea en los criterios y cómo se medía esa relevancia era
178080	181880	sumamente clave en los modelos, en los primeros modelos teóricos, y bueno,
181880	186240	y que después aplicaron los primeros sistemas de gestión documental.
186240	193320	Entonces, bueno, nada, una breve agenda, primero, introducir al tema, vamos a hablar
193320	198960	de los modelos de los modelos de los modelos de información retro rival,
198960	205160	cómo se cuáles son las medidas para evaluar la recuperación, y después muy
205160	211840	por arriba, esta hablar algo de indexación, que es clear, esto obviamente por lo
211840	217240	menos mencionar lo que sería recuperación de información en la web, y después se
217240	220800	dotemos interesante que es el tema de frección de información, que de alguna manera
220800	227040	es como un arma no menor de la recuperación de información.
227040	233440	Entonces, vamos a empezar a contextualizar tres preguntas distintas, primero,
233440	238360	digamos, que es el concepto de información, luego que es un sistema de información
238360	245400	para después llegar al concepto de que recuperación de información.
245400	254840	Acá yo, ya lo tenemos, ya lo venimos manejando, más que nada para contextualizar,
254840	260560	este es un par de definiciones que me parecieron interesantes, de la relea de academia y
260560	265760	la otra, la saque de Wikipedia. Comunicación o adquisición de conocimientos que permiten
265760	271160	ampliar o precisar los que ya se poseen, eso ya tengo determinada idea sobre algo
271160	276760	y busco a aumentar esa, esa idea sobre determinados conceptos, o bueno,
276760	280880	un conjunto organizado de datos procesados que constituyen un mensaje que cambia el
280880	284760	estado de conocimiento del sujeto o de lo que ya conocíamos.
284760	289400	Son como distintas, pero pero orientadas a lo mismo, a tratar de profundizar o de aumentar
