start	end	text
0	22040	Bueno bienvenidos a la segunda clase de introducción de presentamiento de lenguaje natural,
22040	28800	de esta dicción 2016, hoy vamos a hablar de el idioma español, vamos a ver
28800	34880	algunas cosas que no ven desde el liceo, algunas cosas que probablemente nunca vieron, y bueno
34880	40720	te va a hacer un poco como repaso en parte de lo que fue y una española del liceo, y probablemente
40720	46400	algunos de ustedes digan que en boledio de la española del liceo era me gustaban nada, me han volado,
46400	49600	entonces bueno vamos a tratar de ver que siguientes un punto de vista ingenieril, yo que se en
49600	55880	están solos, hay mucha gente que piensa igual, en realidad hay algunas cosas que son un poco
55880	60000	arbitrarias en el idioma, pero hay muchas otras cosas que de un punto de vista ingenieril se pueden analizar
60000	67160	bien y se pueden formalizar y se pueden construir modelos y teorías que funcionan bien, entonces claro,
67160	72480	lo que pasa con el idioma es que es una herramienta cultural, es algo que es compartido por un
72480	76480	grupo de gente, entonces está a ser grupo de gente, se pone a acuerdo de alguna manera como se comunican,
76480	82760	establece un protocolo, establece mensajes que tienen que intercambiar entre ellos, y por hecho de que es
82760	88680	cultural entonces esto ha ido evolucionando a lo largo de la historia, entonces lo que pasa es que el idioma
88680	92520	siempre tiene una parte lógica porque se necesita para describir un universo se necesita para
92520	97800	poder comunicarse y todo eso o de esas ciertas reglas lógicas, y tiene otra parte histórica que bueno,
97800	101680	la gente decidió hablar de esa manera y además fue evolucionando a lo largo del tiempo, entonces hay
101680	105760	cosas que hoy nos parecen raras como funcionan, pero porque históricamente tenían un sentido,
106680	111280	entonces por eso es como que tiene las dos partes, en la parte lógica, los ingenieros en
111280	115280	general nos sentimos bastante bien porque bueno tiene reglas, es más o menos estable, lo podemos
115280	120040	predecir, la otra parte no tanto, lo aparte como que se escapa un poco y hay cosas que parecen un
120040	125880	poco arbitrarias, pero vamos a ver que en realidad este todo es igual, se puede formalizar o gran parte
125880	136080	de eso se puede formalizar y se puede ver bien desde un punto de vista de la ingeniería, entonces bueno,
136680	142640	la idea de atrás de esta clase, la de hoy y la clase que viene es tratar de nivelar
142640	147320	nos a todos en un nivel mínimo de las conocimientos necesarios que necesitan tener para el
147320	153520	línea más baño, porque después al final de estas dos clases después se va a empezar el resto del
153520	158320	curso de procedimiento del lenguaje natural, y bueno ya se assume que ustedes ya van a conocer que es un
158320	162520	nombre que es un baro, que es un grupo nominal, que es un sujeto, etcétera, todo ese tipo de cosas,
162520	167080	se assume que ya lo van a saber, entonces nos vamos a estar aplicando de vuelta, sigue bueno, al final
