start	end	text
0	23680	Una vez que elegí en mi, con el paso 1, elegí cuántas palabras en español y bolsar en el
23680	27800	paso 2, es lo que voy a elegir es una lineación, una función de lineación que me dice
27800	31000	cada palabra, con cual se va a corresponder, cada palabra, el lado de español, con que
31000	37260	palabra en inglés se va a corresponder. Este modelo ha sumed de manera muy naïve que todas
37260	44280	las salinaciones que yo puedo tener son equiprobables, o sea, ha sumed que yo voy a tener un
44280	48640	conjunto de lineaciones posibles y todas van a tener la vina de probabilidad. Bien, entonces,
48640	54600	la probabilidad de elegir una lineación en particular, si yo tengo un montón de lineaciones,
54600	59640	digamos, la probabilidad de elegir una, una lineación en particular, va a ser uno sobre
59640	63480	la cantidad de lineaciones que tengo, porque en realidad todas van a ser equiprobables.
63480	69280	Bien, entonces, cuántas lineaciones puedo tener entre dos oraciones, una oración en inglés
69280	73160	que tiene largo y una oración española que tiene largo jota, como puedo calcular cuántas
73160	79160	a lineaciones existen.
79160	90400	Más o menos, casi de la jota. Recuerden que el lado de inglés, yo podía, yo tenía ciertas
90400	99200	palabras en inglés tenía la palabra, en inglés era ahí, la palabra 1, 2 hasta,
99200	108000	sui y en español tenía las palabras f1, f2 hasta, f subjota. Entonces, yo podía
108000	113600	atrazar líneas para alinear, pero además en inglés, yo siempre considerado que tenía un
113600	119480	token null. Entonces, todas las palabras que no estaban alineadas del lado del español y van
119480	123000	a parar ahí. Así que en inglés en realidad no tengo
123040	127560	y posibilidades, tengo una más, tengo y más uno. Entonces, cuántas formas tengo yo de
127560	133320	mapear estas jota posibilidades en español con las y en inglés.
133320	136720	Es alto, y más una la jota, porque yo tengo y más una opción para la primera y más
136720	142600	una opción para la segunda, etcétera, que yo al final. Así que son y más uno a las jota
142600	152600	alineaciones, posibles. ¿No voy a tener un cliente medio de la red? ¿No voy?
152600	155960	¿No voy a dar esta porillas a las a las a las a las a las de los múltiples en medio
155960	162000	de la ingestación? Ojo, el null es como una pizadita que hago yo para alinear cosas que
162000	165160	no tienen un correspondiente. O sea, yo tenía una palabra en español que...
165160	172440	¿Tar? Varias de las cefes pueden estar alineadas en español, no importa en qué
172440	179680	orden están. Eso. Bien, entonces, eran y más uno a las jota posibles alineaciones,
179680	188920	por lo tanto. La probabilidad de elegir una alineación a data de la
188920	193480	operación en inglés, la probabilidad de elegir una alineación cualquiera, data, la
193480	199400	oración en inglés, va a ser el producto de la probabilidad de haber sortiado un valor
199400	205400	jota primero que era de epsilon por la probabilidad de elegir una alineación cualquiera para
205400	212560	ese jota, que es uno sobre y más uno a la jota. Bien, entonces esto lo resolvimos como
212560	223280	epsilon sobre y más uno a la jota. Epsilon sobre y más uno a la jota es la probabilidad
223280	229500	de data de una oración en inglés, elegir cierta alineación que yo voy a utilizar.
229500	236840	Bien, ese fue el segundo paso. El tercer paso es una vez que se atengo la alineación,
236840	240640	voy mirando cada palabra de la dolin inglés y le voy poniendo una palabra correspondiente
240640	246320	de la de español. Para acá voy a sumir que yo tengo una tabla de traducción, una tabla de
246320	250080	traducción que me dice que tiene de un lado todas las palabras en español y el otro lado
250080	257040	de las palabras en inglés, entonces mi tabla va a tener una forma como, por ejemplo,
257040	264040	hace una tabla así que de un lado decir las palabras en español como banco, perro,
264040	270480	chato y más cosas y del otro lado va a tener las correspondientes en inglés como banco,
270480	278240	bench, cat, tri y más cosas. Y entonces esta tabla va a decir la probabilidad de traducir
278240	280840	una cosa en la botan. Entonces banco probablemente tenga cierta probabilidad para
280840	292000	avanzar y cierta probabilidad para bench, 0.4 y 0.6, 0.6 y para cat no da ninguna probabilidad
292000	297480	para tri tan poco y después perro no va a tener nada esto, pero si después y cat va a ser
297480	302240	este no sé, 0.8 en este caso, etcétera voy a tener una tabla bastante grande que tiene
302240	311480	toda la posibilidad de traducir una palabra como otra. Entonces, si yo tengo esa tabla lo
311480	318720	que puedo decir es que la forma de calcular la probabilidad de esa oración final que
318720	323080	yo traduce va a depender de cuáles son las palabras que yo elija va a depender de cuáles son las
323080	330920	palabras que yo haya puesto dentro de mi, de mi oración para traducir. Entonces esa tabla que
330920	336800	está ahí definida le llamamos acá en la, en la, en la, la, aparece como T de f su x,
336800	344160	su y y dice que la probabilidad de traducir la palabra su y como f su x. Entonces,
344160	354520	acá hay una cosa importante. Si tenemos la oración en inglés, la oración en inglés
354520	361840	recuerdan que tenía las palabras, es su 1, es su 2, hasta de su 9, la oración en español
361840	369080	tenía las palabras, es su 1, f su 2, hasta de f su jota. Y eso tenía en el medio una función
369080	377320	de la lineación que me decía que palabras se correspondía con cual. Entonces, no era su
377320	390800	vene ni f su jota, era su y y f su jota grande. Esto era su y, esto era f su jota grande.
390800	398200	Entonces, si yo tengo una palabra cualquiera dentro de la oración en español, tengo un f su jota
398200	405200	de chica dentro de la oración en español. Esto se va a corresponder con algún f su y chica en la
405200	409760	oración en inglés, digamos. Yo sé que esto se cumble por la función de la lineación
409760	412560	porque agarra y mape a todas las palabras que están en español con algo que estaba
412560	417880	a la dole inglés. Potencialmente con el doque en vacío, no olvides.
417880	422440	Bien, entonces, tengo una palabra de la dole español que es f su jota y una palabra de la dole
422440	427960	inglés que es f su y. ¿Cuál es la relación entre ese jota y ese y? ¿Cómo es la relación
427960	443480	entre sí? Tiamos. Yo puedo decir que el i es igual a algo de jota. La buena manera.
443480	447920	La función de la lineación, ahí está. O sea, el i es igual a la función de la lineación
447920	455080	aplicada jota. Como la i, el índice de este acá es igual a la función de la lineación
455080	463320	aplicada jota. Entonces, yo puedo decir que la palabra su i es igual a la palabra su
463320	468440	a su jota. Así que puedo decir que en realidad los que están alineados son la palabra
468440	475000	f su jota está alineada con la palabra y su a su jota. Y ahí me sacqué el i de encima,
475000	481200	digamos, simplemente y te eros sobre las palabras y te erando sobre la jota puedo establecer
481200	490160	la correspondencia entre las dos palabras. Y eso es un poco lo que dice acá para terminar
490160	493360	de armar lo que es el modelo de traducción. Para terminar de armar el modelo de traducción
493360	497240	dicen que en el tercer paso yo voy a elegir cuáles son las palabras. Entonces, lo que
497240	503920	voy a hacer es iterar sobre todas las palabras y haciendo el producto de todas las
504000	509440	las probabilidades. O sea, el producto de dado que yo tenía la palabra f su jota,
509440	514800	pero dado que su tenía la palabra eso va su jota en inglés. Entonces, elegir la palabra f su jota
514800	521120	en español. Eso haga una productoria con todos los valores de las distintas palabras.
523680	531680	Bien, entonces ahí, llegue a el último de los valores que quería calcular, que es la
531680	542720	probabilidad de f dado que conozco. Ahí es igual a la productoria con jota igual uno hasta
542720	550680	jota grande, de el valor de la tabla de traducción, que es de su f su jota, t de f su jota
550680	561640	y su vasu jota. Bueno, ta. Entonces, ahí tengo como en cada paso fui calculando cosas
561840	567600	este se correspondía al paso uno del modelo, paso uno, este se corresponde con el paso del modelo.
567600	571680	En realidad, este ya tiene el paso uno del paso dos juntos porque ella tengo el epsilon acá y este
571680	577800	se corresponde con el paso tres del modelo. El paso tres de la historia de generación.
579800	586160	Mi objetivo con todos estos valores que están acá es calcular pdf de hoy.
586240	595160	¿Qué parametro sin traduje? ¿Qué parametro fueron surgiendo a medida que se iba
595160	598400	y derando sobre estos pasos? Bueno, en primer lugar, el epsilon aquel que estaba
598400	602560	moviendo, este es un valor que yo tendría que estimar a partir de mirar en los corcos,
602560	608200	como son los largos y las oraciones relativos. Y el otro parametro importante es aquella
608200	611920	tabla allá, aquella tabla de traducción es que me dice banco, con que probabilidad lo
611920	615920	puede traducir como banco y como que probabilidad lo puede traducir como véns, etcétera, etcétera.
615920	620680	Esta tabla en realidad es un parametro del modelo, es un parametro el sistema que si yo lo tuviera,
620680	626640	me alcanzaría con eso para poder construirme este modelo y calcular la probabilidad de cualquier
626640	627600	par de operaciones.
632600	638840	Bien, y entonces, antes de continuar, vamos a terminar de armar cuál es la imagen de esto,
639080	646840	que es decir, yo en realidad lo quería calcular era pdf da doe, que eso va a ser mi modelo de traducción
646840	652840	y de hecho va a ser el encargado de medida de ecuación de una frase, pdf da doe lo puedo calcular
652840	657640	con esta descomposición de pasos que dice acá en realidad porque luego de la siguiente manera.
669800	681800	Yo quiero calcular pdf da doe, y entonces voy a mirar lo que dice acá pdf da doe, es igual a la sumatoria
681800	690920	en la pdf da doe, que significa eso que para traducir en la generación en español y una versión
690920	695840	en inglés o más bien para la situación, para traducir en una generación en español,
695840	701760	hay muchas formas de alinear las palabras en el inglés en español y una vez que yo elegí una forma
701760	705520	alinear, hay muchas formas de elegir las palabras que vienen después de vamos a mirar a través de
705520	711800	traducción y capaz que hay varias maneras de elegir distintas palabras. Entonces lo que eso significa es que
711800	716960	no existe una sola manera de traducir una versión en inglés a una versión español. Yo puedo encontrar
716960	721200	varias formas de alinear las palabras si darías formas de elegir las palabras de manera de que muchas
721200	729120	alineaciones son posibles. Entonces para saber cuál es la probabilidad de traducir de traducir F da doe.
730400	735400	Entonces yo voy a tener que sumar sobre todas las alineaciones posibles, sobre todas las formas de alinear las
735400	741280	dos oraciones FI, voy a tener que ir a ir a ir sobre eso y para cada una voy a tener que acular la probabilidad
741280	746600	partial. Entonces, digamos, yo tengo cinco formas alinear las dos oraciones,
747280	751000	cinco es un número un poco raro, pero digamos tengo eneformas de alinear las dos oraciones.
751800	758160	Voy a tener que mirar bueno para la primera alineación cuál es la probabilidad de encontrar la
758160	761560	oración F para la segunda alineación cuál es la probabilidad de encontrar la oración F para la tercera
761560	767920	oración y así hasta llegar al final y agarró y sumo todo eso. Eso lo puedo hacer porque las alineaciones son
767920	771960	una descomposición de la espacio de probabilidad, en realidad yo puedo descomponar el espacio de probabilidad,
771960	777760	en pedacitos disjuntos y cada alineación va a ser uno de ellos. Así que digamos que para
777760	782360	cagular el modelo de traducción, pede F da doe, necesito sumar sobre todas las alineaciones posibles.
783360	787200	Ahora, lo que me falta es saber cómo calculo este valor acá.
788200	794480	Así que lo que estoy diciendo es que la probabilidad de F da doe es la suma sobre las alineaciones
794480	800960	de la probabilidad de F y esa alineación da doe. Eso es simplemente lo que dice ahí en la
