start	end	text
0	21000	Bueno, de lo primero que vamos a hablar es del guaje regular.
21000	29800	Ustedes hicieron el curso de teoría de lenguajes, y este año,
29800	34000	GMT debaba una introducción más teorica, le voy a regular este año,
34000	35800	decidí cortar esa parte porque en realidad,
35800	41000	ya tienen bastante sufrido, bastante aprado y además,
41000	44000	y companí en todos esos temas de lenguaje regular,
44000	50000	y sus propiedades teoricas y propiedades de clasura,
50000	54000	y sus diferentes modelos, y vamos a dar solo un repaso acá para nivelar un poco
54000	59000	porque son del tipo de metos que forman la base de otra cantidad,
59000	62000	y que para algunas tareas aplican directamente.
62000	69000	Y arranco con esta frase porque, como yo decía,
69000	76000	que yo en la primera clase, yo en equipo,
76000	82000	porque por eso por 1997 mostró que el inglés no era susceptible
82000	85000	de ser representado con la automata finitos,
85000	89000	y eso que la investigación en este tipo automatas
89000	92000	en el procedimiento de lenguaje natural se tuviera como por 30 años,
92000	95000	y después volvieron, ahora vamos a hablar muy tomada,
95000	99000	pero ¿qué son los lenguajes regulares?
99000	102000	Me queda elegísimo el teclado de acá.
102000	105000	¿Por qué nos interesa los lenguajes regulares?
105000	109000	Porque esencialmente la vista como herramienta,
109000	114000	para procedermente el lenguaje natural,
114000	118000	son una herramienta para especificarte esto mediante patrones.
118000	122000	Es decir, yo quiero especificar un conjunto de textos,
122000	126000	a través de un expresión sola,
126000	130000	y generalmente puede utilizar expresiones regulares.
130000	133000	Si yo quiero expresar todas las palabras,
133000	135000	que empiezan con ese de alguna,
135000	138000	tengo que expresar de alguna forma algo como,
138000	140000	lo voy a poner en perlegamos,
140000	146000	se punto a este disco,
146000	149000	es una séseguida de cualquier cosa,
149000	151000	cualquier cantidad de vez.
151000	153000	Ahora vamos a ver un poco más de vez,
153000	156000	pero esencialmente es una forma de expresar mucho.
156000	159000	Si quiero encontrar en un texto todas las palabras,
159000	163000	que empiezan con machúscula y terminan con a.
163000	166000	Sí, voy a poner una cosa como a hecha,
166000	168000	a machúscula, que es decir,
168000	171000	cualquier cosa, terminan con a.
171000	173000	No, bueno,
173000	176000	ya hay una persona en una cosa como bueno,
176000	179000	pero acá tiene que haber no haber espacios enemé,
179000	181000	y, por ejemplo, no,
181000	184000	pero y toda una serie de discusiones,
184000	188000	pero lo importante es que yo puedo presar con juntos un patrón,
188000	191000	a través de una expresión,
191000	196000	un texto a un conjunto de texto a partir de un patrón.
196000	198000	Tienen expresividad limitadas,
198000	199000	aseguran de las hieras aquí a choques,
199000	200000	que no,
200000	204000	es decir, nosotros tenemos los lenguajes regulares,
204000	207000	los lenguajes libre de contexto,
207000	211000	y los lenguajes recurcidamente numerables para que afuera,
213000	217000	los lenguajes regulares son su conjunto de los lenguajes,
217000	219000	pero antes que son los lenguajes,
219000	220000	que son los lenguajes formales,
220000	222000	a lo que eran los lenguajes formales,
222000	224000	ahí se acuerdan,
224000	227000	yo tengo un alfabeto finito de símbolos,
227000	229000	sí,
229000	233000	de finotiras de símbolos,
233000	235000	bueno,
235000	238000	y los lenguajes son un su conjunto de las tiras
238000	240000	que yo puedo formar sobre el alfabeto,
240000	241000	solamente eso,
241000	243000	es un conjunto de tiras,
243000	245000	conjunto de palabras.
247000	249000	Los lenguajes regulares,
249000	252000	solo hay uno de los lenguajes son regulares,
252000	255000	en tanto pueden ser expresado de la forma que lo vamos a ver,
255000	258000	ahora con este tipo de expresiones regulares,
258000	259000	sí,
259000	260000	o sea,
260000	263000	no puedo expresar cualquier cosa
263000	266000	con los lenguajes regulares,
266000	268000	por ejemplo,
268000	269000	el ejemplo de manual,
269000	271000	es que yo no puedo expresar cosas de la forma
271000	274000	igual cantidad de ellas que debes,
274000	276000	sí,
277000	280000	esto no lo puedo expresar con los guajas regulares,
280000	281000	y mira,
281000	282000	en con cara,
282000	283000	esto no es bien saberlo,
283000	285000	o no puedo expresar cosas como ésta,
285000	287000	una tía y su reverso,
287000	290000	y eso no lo puedo expresar con el expresión regulares,
290000	292000	se tiene una presidad limitada,
292000	293000	pero,
293000	294000	a cambio de eso,
294000	296000	son muy muy muy muy eficientes,
296000	297000	es decir,
297000	299000	típicamente cuando yo quiero hacer algo,
299000	302000	hacer una busque deficiente de algo,
302000	303000	en un texto,
303000	305000	si lo logras presar esa busque,
305000	306000	con una presión regular,
306000	308000	sé que lo voy a encontrar
308000	310000	en,
310000	311000	en, en, en, en, en, en,
311000	313000	de una forma muy eficiente,
313000	314000	si lo vuelvo de termísimo,
314000	315000	incluso de orden,
315000	317000	el largo de la palabra de este busque,
317000	318000	sí,
318000	320000	de acuerdo,
320000	321000	y,
321000	323000	y son fácilmente adaptables para,
323000	325000	buscar un,
325000	326000	un patrón,
326000	327000	en un,
327000	328000	en un corpus,
328000	329000	sí,
329000	331000	si yo tengo que buscar un texto,
331000	332000	como en Unix,
332000	333000	con gripe,
334000	335000	o en un editor de texto,
335000	337000	cuando controlo de buscar,
337000	338000	o lo que sea,
338000	339000	sí,
339000	341000	si yo lo puedo específicar con un patrón,
341000	342000	generalmente lo suele poner una palabra,
342000	343000	que de última vez,
343000	344000	un patrón sencillo,
344000	345000	que solamente,
345000	347000	expresaba una asultira,
347000	348000	pero yo,
348000	349000	podría,
349000	350000	y casi todo lo de editor
350000	351000	profesionales,
351000	353000	permiten buscar presiones regulares,
353000	355000	específicar esos patrónes,
355000	356000	para buscar,
356000	357000	y casi todo lo lenguaje,
357000	358000	de hecho,
358000	359000	creo que todo lo lenguaje
359000	360000	promoción hoy en día,
360000	361000	tienen forma de,
