start	end	text
0	27000	La clase pasa, estuvimos viendo una metodología de clasificación en general, así para cualquier problema de clasificación.
27000	48000	Presialmente, como se para el corpo, que me diga utilizar, una cantidad de aspectos metodológicos que son muy importantes y que lo hicimos independiente del dominio en el que estamos, que es el deprosamiento de la humanidad natural, porque aplica para cualquier problema de clasificación.
48000	59000	Pero en más clasificación, los métodos aplican a utilizar, se pueden definir en general de hecho, en el curso de aprensaje automático, te aprenden con más detalle, lo que vimos en parte del curso.
59000	66000	Es algo automático, aprenden con más detalle, lo que se vimos en la clase sola.
66000	77000	Porque se ven diferentes métodos, estuvimos cual era el método en particular, y hablamos en general un clasificador, un clasificador supervisado,
77000	94000	es, dijimos, aquí el caso donde yo tengo un conjunto de intancias de cosas, un conjunto de clases discreto y tengo que asignarle a cada intancia, a una de tareas, a cada una de esas intancias, uno de los grupos de clases.
94000	99000	Si yo tengo un conjunto de documentos y quiero saber en qué idioma está, lo que te haciendo es un problema de clasificación.
99000	107000	Tengo el conjunto de los documentos, tengo las clases que son los idiomas posible, y yo tengo que sacar una sociedad de una clase.
107000	112000	Podría eventualmente ser más en una clase, podemos tener un problema múltiples, decir ahí variante, ¿no?
112000	115000	Yo podría decir que a cada documento era sin no más de una clase.
115000	124000	Por ejemplo, si lo quiero que la clasificar el tópico de un documento, esto puede ser de espectáculos y de deportes,
124000	129000	estamos hablando de cuantanada con él.
129000	139000	En la clase de hoy, lo que vamos a ver es, vamos a hablar de los mitos que hay de clasificación de un momento.
139000	144000	Y de cómo se aplican algunas tareas del procedimiento de la imaginatura.
144000	150000	O sea, un poco de las características del método y de cómo intanciarlo en algún caso de ejemplo.
150000	160000	Y como yo decía en la clase basada, los mitos de clasificación son muy fundidos en todos los diferentes análisis,
160000	166000	porque generalmente en los elementos de dominio o en los que trabajamos un decreto,
166000	172000	la palabra, la solación, el documento, los tweets, son todos cosas y cretas.
172000	179000	Entonces general vamos a ver metos de clasificación supervisa.
179000	190000	Si yo quisiera, por ejemplo, un proyecto grave que hemos leído pasado, que la clasificaba un tweet,
190000	195000	si era un chiste o no, y ser una tarea de clasificación.
195000	200000	Una tarea que también encaramos, aunque no con demasiado éxito,
200000	209000	era la de calificar el chiste en un rango, en un vacinal, un valor de que también nos estaba.
209000	212000	Si se podía llegar a capturar eso.
212000	218000	Si yo, como lo planteamos, nosotros era que voy a poner una 2, 3, 4, 5 estrellas.
218000	221000	Eso sigue siendo un problema de la estificación supervisa.
221000	225000	Pero si yo lo considero a un contimo, ahí teníamos un problema regresiando,
225000	229000	no son usuarios, pero le más la la la la la la la la la la la la la.
229000	231000	Porque un otro niño, generalmente, es un hijito.
231000	235000	Bueno, probamos a metos de clasificación supervisa.
235000	239000	Y en particular, vamos a hablar de metos probabilistas.
239000	246000	Lo metos probabilistas en general, tenemos la intensidad, o sea, yo no voy a volver
246000	248000	sobre la terminología que vimos en ese pasaje.
248000	254000	Tenemos la intensidad representada por el tributo y queremos asignarlo en la clase.
254000	257000	Pero además, los metos probabilistas, lo que hacen es asignarle
257000	260000	es una probabilidad a cada clase posible.
260000	264000	Entonces, yo no solo te digo esta intensidad,
264000	272000	esta intensidad es un humoristínco,
272000	279000	sino que te digo que este tweet tiene un 85% de chances del humoristico
279000	282000	y no humoristico un 15%.
282000	285000	Y esto, por supuesto, tiene que ser una distribución de probabilidad,
285000	288000	que es un humor uno en tal, es el mayor que cero.
288000	294000	Entonces, y además, los metos probabilistas intentan
294000	298000	obtener una distribución sobre las clasetas de datos.
298000	300000	Sí.
304000	308000	Y, por supuesto, clasificar el general va a ser un nuevo elegido a clasico
308000	310000	en la probabilidad más alta.
311000	314000	Así es que no quiere, simplemente dejar de volver esa distribución
314000	319000	para que otra etapa del proceso lo utilice.
319000	324000	Bueno, yo tengo la posibilidad a hacer eso.
326000	330000	Los metos generativos, que son uno de los tipos de metos que hay,
330000	334000	lo que intentan es, son los que hemos estado viendo hasta ahora
334000	337000	en general, y es lo que tratan de modilar la distribución conjunta.
337000	340000	Es decir, la clases junto con los atributos.
340000	342000	Sí?
342000	344000	Y la setiquetas.
344000	346000	¿Neguardo?
348000	353000	¿Por qué? Porque es lo que necesitan para partir de la redebaixe.
353000	355000	Es decir, yo quiero en la clases.
355000	358000	Dada el conjunto de fiturs, se acuerden que la fitura
358000	360000	era nuestra representación del documento, ¿no?
360000	365000	Características que va a haber un daño caracterizado en el documento.
365000	369000	Entonces, la probabilidad de la clases,
369000	372000	dado los atributos, es igual a la probabilidad conjunta
372000	375000	dividida a la probabilidad de los atributos.
375000	376000	Sí?
376000	379000	Por definición, por la definición de probabilidad condiciona.
383000	386000	Entonces, lo que tratan de modilar es esto.
386000	388000	¿Por qué lo hacen? Porque esta probabilidad es,
388000	391000	realmente son más fácil de estimar que la otra.
392000	395000	Porque la puedo estimar contando más fácilmente.
395000	398000	¿Por qué? Porque fíjense que yo, como condiciono,
398000	401000	dada a la clase.
401000	402000	Y vamos.
402000	405000	Yo, por ejemplo, puedo asumir independencia entre la variabria aleatoria
405000	406000	esta.
406000	407000	O sea, entre los atributos.
407000	409000	Y puedo decir, si estás un independiente,
409000	412000	es pdx12c por pdx2c por no.
412000	414000	Esto no lo puedo hacer en el telado.
415000	419000	Yo no puedo decir pdx1 por porque no nos funciona así,
419000	420000	pero ya ya ya.
420000	423000	La independencia la puedo manajar acá el lado.
423000	425000	¡Y cua izquierda!
425000	426000	¡Quier trap!
426000	427000	¡Cua izquierda!
427000	431000	Piedad de dependencia entre variabria asaliatorias.
431000	433000	Si, si esmina de este lado.
433000	435000	Eso genera toda una teoría que se llama
435000	436000	la de los modelos gráficos,
436000	438000	que ponemos, nosotros no vamos a darle acá,
438000	440000	pero que me dice, bueno, cuál es la estructura
440000	442000	que yo supongo, en términos de dependencia.
442000	444000	Es decir, esta variable dependente de esta no…
444000	445000	y así?
445000	447040	Y podemos bossar que con un gráfico,
447040	449040	¿Cómo va a tomar?
449040	451640	Entonces,
451640	455440	si no es esto, no, la probabilidad de la clase,
455440	457440	¿dó lo atributo en la probabilidad de la clase?
457440	459240	Por la probabilidad de los atributos de la clase,
459240	460840	esto es valles, ¿no?
460840	462640	Ella lo hemos visto varias veces en el curso,
462640	464440	no estamos inventando nada.
464440	468440	Dividido, la probabilidad de los atributos.
468440	470040	Y bueno, y nada, lo que mucho está ahora,
470040	472040	tanto la probabilidad priora y la pese,
472040	474440	como en la probabilidad de veros similitud,
474440	477240	esta, la puedo timar a partir del lado.
477240	479040	Esto ya lo hemos hecho.
479040	480440	Sí.
481440	484440	Pero vamos a tener que simplificar el problema.
487440	489440	El método nadie vaches.
490840	492440	Lo que hace es
496440	499440	asumir que las
500440	503440	lo atributo su independiente entre sí.
503440	506440	Lo cual es una barbaridad conceptual,
506440	508440	si por ejemplo, estamos hablando de un texto y los atributos
508440	510440	son las palabras que tienen.
510440	513440	La mente de la palabra viene en la compañía de esa,
513440	515440	se hace en amiga, entre ellas.
515440	519440	No, es muy palabra positivo, es muy probable que haya otra palabra positivo.
519440	521440	Bueno, es más ese, bueno, sí.
522440	525440	La probabilidad de una palabra solo depende de la clase.
529440	532440	Y, por lo tanto, eso hace que pueda partir la probabilidad,
532440	533440	porque como son independientes,
533440	535440	la probabilidad de que es uno,
535440	537440	dado que es uno por hay que diseñado ese,
537440	538440	pero hay que diseñar ese, pero hay que diseñar ese,
538440	540440	pero hay que diseñar ese, porque la probabilidad de que he dado ese,
540440	541440	es la verdad.
543440	544440	Sí.
545440	549440	Y, bueno, y cómo construyes un clasificador a partir de esto.
549440	551440	Bueno, maximizo lo de arriba,
551440	553440	buscó la clase que maximise lo de arriba,
553440	555440	la abajo es independiente de la clase.
